quote|source|dob-dod|wplink|category
There is no remedy but to love more.|Henry David Thoreau|1817-1862|http://en.wikipedia.org/wiki/Henry_David_Thoreau|romantic
There is always some madness in love. But there is also always some reason in madness.|Friedrich Nietzsche|1844-1900|http://en.wikipedia.org/wiki/Friedrich_Nietzsche|romantic
Love does not consist in gazing at each other, but in looking outward together in the same direction.|Antoine de Saint-Exupery|1900-1944|http://en.wikipedia.org/wiki/Antoine_de_Saint-Exupery|romantic
Take away love and our earth is a tomb.|Robert Browning|1812-1889|http://en.wikipedia.org/wiki/Robert_Browning|romantic
It's not that I'm afraid to die, I just don't want to be there when it happens.|Woody Allen|1935-|http://en.wikipedia.org/wiki/Woddy_Allen|humerous
Work is the curse of the drinking classes.|Oscar Wilde|1854-1900|http://en.wikipedia.org/wiki/Oscar_wilde|humerous
A computer once beat me at chess, but it was no match for me at kick boxing.|Emo Philips|1956-|http://en.wikipedia.org/wiki/Emo_Philips|humerous
Women should be obscene and not heard.|Groucho Marx|1890-1977|http://en.wikipedia.org/wiki/Groucho_Marx|humerous
An ideal form of government is democracy tempered with assassination.|Voltaire|1694-1778|http://en.wikipedia.org/wiki/Voltaire|political
Illegal aliens have always been a problem in the United States. Ask any Indian.|Robert Orben|1927-|http://en.wikipedia.org/wiki/Robert_Orben|political
Religion is what keeps the poor from murdering the rich.|Napoleon Bonaparte|1769-1821|http://en.wikipedia.org/wiki/Napoleon|political
Any dictator would admire the uniformity and obedience of the [U.S.] media.|Noam Chomsky|1928-|http://en.wikipedia.org/wiki/Noam_Chomsky|political
